feature,domain,description,missing_landmarks_n,evaluable_landmarks_n,missing_percent
landmark_h,Context,Landmark-available value; Hours from ICU admission at the prediction time,0,568182,0.000
age,Context,Landmark-available value; Age at hospital or ICU admission,0,568182,0.000
sex,Context,Categorical context; Recorded sex,0,568182,0.000
admission_source,Context,Categorical context; Recorded source of hospital or ICU admission,0,568182,0.000
icu_type,Context,Categorical context; Harmonised ICU type,0,568182,0.000
preicu_los_hours,Context,Landmark-available value; Elapsed time from hospital admission to ICU admission,3215,568182,0.566
bmi,Context,Landmark-available value; Most recent eligible body mass index,19918,568182,3.506
gcs_latest,Neurological,Latest eligible value; Glasgow Coma Scale,191616,568182,33.724
gcs_median,Neurological,Median of eligible values; Glasgow Coma Scale,191616,568182,33.724
gcs_min,Neurological,Minimum eligible value; Glasgow Coma Scale,191616,568182,33.724
gcs_max,Neurological,Maximum eligible value; Glasgow Coma Scale,191616,568182,33.724
gcs_sd,Neurological,Standard deviation of eligible values; Glasgow Coma Scale,323093,568182,56.864
gcs_iqr,Neurological,Interquartile range of eligible values; Glasgow Coma Scale,323093,568182,56.864
gcs_slope,Neurological,Prespecified time slope; Glasgow Coma Scale,477865,568182,84.104
gcs_abnormal_prop,Neurological,Proportion of observed 2-h bins outside the prespecified range; Glasgow Coma Scale,191616,568182,33.724
gcs_longest_abnormal_run,Neurological,Longest consecutive abnormal 2-h-bin run; Glasgow Coma Scale,191616,568182,33.724
hr_latest,Haemodynamic,Latest eligible value; Heart rate,12854,568182,2.262
hr_median,Haemodynamic,Median of eligible values; Heart rate,12854,568182,2.262
hr_min,Haemodynamic,Minimum eligible value; Heart rate,12854,568182,2.262
hr_max,Haemodynamic,Maximum eligible value; Heart rate,12854,568182,2.262
hr_sd,Haemodynamic,Standard deviation of eligible values; Heart rate,13965,568182,2.458
hr_iqr,Haemodynamic,Interquartile range of eligible values; Heart rate,13965,568182,2.458
hr_slope,Haemodynamic,Prespecified time slope; Heart rate,17503,568182,3.081
hr_abnormal_prop,Haemodynamic,Proportion of observed 2-h bins outside the prespecified range; Heart rate,12854,568182,2.262
hr_longest_abnormal_run,Haemodynamic,Longest consecutive abnormal 2-h-bin run; Heart rate,12854,568182,2.262
map_latest,Haemodynamic,Latest eligible value; Mean arterial pressure,12187,568182,2.145
map_median,Haemodynamic,Median of eligible values; Mean arterial pressure,12187,568182,2.145
map_min,Haemodynamic,Minimum eligible value; Mean arterial pressure,12187,568182,2.145
map_max,Haemodynamic,Maximum eligible value; Mean arterial pressure,12187,568182,2.145
map_sd,Haemodynamic,Standard deviation of eligible values; Mean arterial pressure,15048,568182,2.648
map_iqr,Haemodynamic,Interquartile range of eligible values; Mean arterial pressure,15048,568182,2.648
map_slope,Haemodynamic,Prespecified time slope; Mean arterial pressure,44008,568182,7.745
map_abnormal_prop,Haemodynamic,Proportion of observed 2-h bins outside the prespecified range; Mean arterial pressure,12187,568182,2.145
map_longest_abnormal_run,Haemodynamic,Longest consecutive abnormal 2-h-bin run; Mean arterial pressure,12187,568182,2.145
rr_latest,Respiratory,Latest eligible value; Respiratory rate,68637,568182,12.080
rr_median,Respiratory,Median of eligible values; Respiratory rate,68637,568182,12.080
rr_min,Respiratory,Minimum eligible value; Respiratory rate,68637,568182,12.080
rr_max,Respiratory,Maximum eligible value; Respiratory rate,68637,568182,12.080
rr_sd,Respiratory,Standard deviation of eligible values; Respiratory rate,71877,568182,12.650
rr_iqr,Respiratory,Interquartile range of eligible values; Respiratory rate,71877,568182,12.650
rr_slope,Respiratory,Prespecified time slope; Respiratory rate,79885,568182,14.060
rr_abnormal_prop,Respiratory,Proportion of observed 2-h bins outside the prespecified range; Respiratory rate,68637,568182,12.080
rr_longest_abnormal_run,Respiratory,Longest consecutive abnormal 2-h-bin run; Respiratory rate,68637,568182,12.080
sbp_latest,Haemodynamic,Latest eligible value; Systolic blood pressure,12193,568182,2.146
sbp_median,Haemodynamic,Median of eligible values; Systolic blood pressure,12193,568182,2.146
sbp_min,Haemodynamic,Minimum eligible value; Systolic blood pressure,12193,568182,2.146
sbp_max,Haemodynamic,Maximum eligible value; Systolic blood pressure,12193,568182,2.146
sbp_sd,Haemodynamic,Standard deviation of eligible values; Systolic blood pressure,15062,568182,2.651
sbp_iqr,Haemodynamic,Interquartile range of eligible values; Systolic blood pressure,15062,568182,2.651
sbp_slope,Haemodynamic,Prespecified time slope; Systolic blood pressure,44134,568182,7.768
sbp_abnormal_prop,Haemodynamic,Proportion of observed 2-h bins outside the prespecified range; Systolic blood pressure,12193,568182,2.146
sbp_longest_abnormal_run,Haemodynamic,Longest consecutive abnormal 2-h-bin run; Systolic blood pressure,12193,568182,2.146
spo2_latest,Respiratory,Latest eligible value; Peripheral oxygen saturation,25706,568182,4.524
spo2_median,Respiratory,Median of eligible values; Peripheral oxygen saturation,25706,568182,4.524
spo2_min,Respiratory,Minimum eligible value; Peripheral oxygen saturation,25706,568182,4.524
spo2_max,Respiratory,Maximum eligible value; Peripheral oxygen saturation,25706,568182,4.524
spo2_sd,Respiratory,Standard deviation of eligible values; Peripheral oxygen saturation,33688,568182,5.929
spo2_iqr,Respiratory,Interquartile range of eligible values; Peripheral oxygen saturation,33688,568182,5.929
spo2_slope,Respiratory,Prespecified time slope; Peripheral oxygen saturation,55858,568182,9.831
spo2_abnormal_prop,Respiratory,Proportion of observed 2-h bins outside the prespecified range; Peripheral oxygen saturation,25706,568182,4.524
spo2_longest_abnormal_run,Respiratory,Longest consecutive abnormal 2-h-bin run; Peripheral oxygen saturation,25706,568182,4.524
