No.,Feature,Models,Domain,Window,Representation and interpretation
1,landmark_h,M1/M2/M3,Context,Available at or before t,Landmark-available value; Hours from ICU admission at the prediction time
2,age,M1/M2/M3,Context,Available at or before t,Landmark-available value; Age at hospital or ICU admission
3,sex,M1/M2/M3,Context,Available at or before t,Categorical context; Recorded sex
4,admission_source,M1/M2/M3,Context,Available at or before t,Categorical context; Recorded source of hospital or ICU admission
5,icu_type,M1/M2/M3,Context,Available at or before t,Categorical context; Harmonised ICU type
6,preicu_los_hours,M0/M1/M2/M3,Context,Available at or before t,Landmark-available value; Elapsed time from hospital admission to ICU admission
7,bmi,M0/M1/M2/M3,Context,Available at or before t,Landmark-available value; Most recent eligible body mass index
8,gcs_latest,M0/M1/M2/M3,Neurological,"(t−12 h, t]",Latest eligible value; Glasgow Coma Scale
9,gcs_median,M2/M3,Neurological,"(t−12 h, t]",Median of eligible values; Glasgow Coma Scale
10,gcs_min,M2/M3,Neurological,"(t−12 h, t]",Minimum eligible value; Glasgow Coma Scale
11,gcs_max,M2/M3,Neurological,"(t−12 h, t]",Maximum eligible value; Glasgow Coma Scale
12,gcs_sd,M2/M3,Neurological,"(t−12 h, t]",Standard deviation of eligible values; Glasgow Coma Scale
13,gcs_iqr,M2/M3,Neurological,"(t−12 h, t]",Interquartile range of eligible values; Glasgow Coma Scale
14,gcs_slope,M2/M3,Neurological,"(t−12 h, t]",Prespecified time slope; Glasgow Coma Scale
15,gcs_abnormal_prop,M2/M3,Neurological,"(t−12 h, t]",Proportion of observed 2-h bins outside the prespecified range; Glasgow Coma Scale
16,gcs_longest_abnormal_run,M2/M3,Neurological,"(t−12 h, t]",Longest consecutive abnormal 2-h-bin run; Glasgow Coma Scale
17,hr_latest,M1/M2/M3,Haemodynamic,"(t−12 h, t]",Latest eligible value; Heart rate
18,hr_median,M2/M3,Haemodynamic,"(t−12 h, t]",Median of eligible values; Heart rate
19,hr_min,M2/M3,Haemodynamic,"(t−12 h, t]",Minimum eligible value; Heart rate
20,hr_max,M2/M3,Haemodynamic,"(t−12 h, t]",Maximum eligible value; Heart rate
21,hr_sd,M2/M3,Haemodynamic,"(t−12 h, t]",Standard deviation of eligible values; Heart rate
22,hr_iqr,M2/M3,Haemodynamic,"(t−12 h, t]",Interquartile range of eligible values; Heart rate
23,hr_slope,M2/M3,Haemodynamic,"(t−12 h, t]",Prespecified time slope; Heart rate
24,hr_abnormal_prop,M2/M3,Haemodynamic,"(t−12 h, t]",Proportion of observed 2-h bins outside the prespecified range; Heart rate
25,hr_longest_abnormal_run,M2/M3,Haemodynamic,"(t−12 h, t]",Longest consecutive abnormal 2-h-bin run; Heart rate
26,map_latest,M1/M2/M3,Haemodynamic,"(t−12 h, t]",Latest eligible value; Mean arterial pressure
27,map_median,M2/M3,Haemodynamic,"(t−12 h, t]",Median of eligible values; Mean arterial pressure
28,map_min,M2/M3,Haemodynamic,"(t−12 h, t]",Minimum eligible value; Mean arterial pressure
29,map_max,M2/M3,Haemodynamic,"(t−12 h, t]",Maximum eligible value; Mean arterial pressure
30,map_sd,M2/M3,Haemodynamic,"(t−12 h, t]",Standard deviation of eligible values; Mean arterial pressure
31,map_iqr,M2/M3,Haemodynamic,"(t−12 h, t]",Interquartile range of eligible values; Mean arterial pressure
32,map_slope,M2/M3,Haemodynamic,"(t−12 h, t]",Prespecified time slope; Mean arterial pressure
33,map_abnormal_prop,M2/M3,Haemodynamic,"(t−12 h, t]",Proportion of observed 2-h bins outside the prespecified range; Mean arterial pressure
34,map_longest_abnormal_run,M2/M3,Haemodynamic,"(t−12 h, t]",Longest consecutive abnormal 2-h-bin run; Mean arterial pressure
35,rr_latest,M0/M1/M2/M3,Respiratory,"(t−12 h, t]",Latest eligible value; Respiratory rate
