column_id,feature,duckdb_type,feature_type,m0_liu_adapted,m1_snapshot,m2_dynamic,m3_dynamic_en,m2_abg_extension
1,database,VARCHAR,continuous,0,0,0,0,0
2,patient_key,VARCHAR,continuous,0,0,0,0,0
3,stay_key,VARCHAR,continuous,0,0,0,0,0
4,hospital_id,INTEGER,continuous,0,0,0,0,0
5,anchor_year_group,VARCHAR,continuous,0,0,0,0,0
6,hospitaldischargeyear,SMALLINT,continuous,0,0,0,0,0
7,landmark_h,BIGINT,continuous,0,1,1,1,1
8,age,DOUBLE,continuous,0,1,1,1,1
9,sex,VARCHAR,categorical,0,1,1,1,1
10,admission_source,VARCHAR,categorical,0,1,1,1,1
11,icu_type,VARCHAR,categorical,0,1,1,1,1
12,preicu_los_hours,DOUBLE,continuous,1,1,1,1,1
13,bmi,DOUBLE,continuous,1,1,1,1,1
14,outer_fold,BIGINT,continuous,0,0,0,0,0
15,temporal_role,VARCHAR,continuous,0,0,0,0,0
16,gcs_latest,DOUBLE,continuous,1,1,1,1,1
17,gcs_latest_offset,DOUBLE,continuous,0,0,0,0,0
18,gcs_median,DOUBLE,continuous,0,0,1,1,1
19,gcs_min,DOUBLE,continuous,0,0,1,1,1
20,gcs_max,DOUBLE,continuous,0,0,1,1,1
21,gcs_sd,DOUBLE,continuous,0,0,1,1,1
22,gcs_iqr,DOUBLE,continuous,0,0,1,1,1
23,gcs_slope,DOUBLE,continuous,0,0,1,1,1
24,gcs_abnormal_prop,DOUBLE,continuous,0,0,1,1,1
25,gcs_longest_abnormal_run,BIGINT,continuous,0,0,1,1,1
26,hr_latest,DOUBLE,continuous,0,1,1,1,1
27,hr_latest_offset,DOUBLE,continuous,0,0,0,0,0
28,hr_median,DOUBLE,continuous,0,0,1,1,1
29,hr_min,DOUBLE,continuous,0,0,1,1,1
30,hr_max,DOUBLE,continuous,0,0,1,1,1
31,hr_sd,DOUBLE,continuous,0,0,1,1,1
32,hr_iqr,DOUBLE,continuous,0,0,1,1,1
33,hr_slope,DOUBLE,continuous,0,0,1,1,1
34,hr_abnormal_prop,DOUBLE,continuous,0,0,1,1,1
35,hr_longest_abnormal_run,BIGINT,continuous,0,0,1,1,1
36,map_latest,DOUBLE,continuous,0,1,1,1,1
37,map_latest_offset,DOUBLE,continuous,0,0,0,0,0
38,map_median,DOUBLE,continuous,0,0,1,1,1
39,map_min,DOUBLE,continuous,0,0,1,1,1
40,map_max,DOUBLE,continuous,0,0,1,1,1
41,map_sd,DOUBLE,continuous,0,0,1,1,1
42,map_iqr,DOUBLE,continuous,0,0,1,1,1
43,map_slope,DOUBLE,continuous,0,0,1,1,1
44,map_abnormal_prop,DOUBLE,continuous,0,0,1,1,1
45,map_longest_abnormal_run,BIGINT,continuous,0,0,1,1,1
46,rr_latest,DOUBLE,continuous,1,1,1,1,1
47,rr_latest_offset,DOUBLE,continuous,0,0,0,0,0
48,rr_median,DOUBLE,continuous,0,0,1,1,1
49,rr_min,DOUBLE,continuous,0,0,1,1,1
50,rr_max,DOUBLE,continuous,0,0,1,1,1
51,rr_sd,DOUBLE,continuous,0,0,1,1,1
52,rr_iqr,DOUBLE,continuous,0,0,1,1,1
53,rr_slope,DOUBLE,continuous,0,0,1,1,1
54,rr_abnormal_prop,DOUBLE,continuous,0,0,1,1,1
55,rr_longest_abnormal_run,BIGINT,continuous,0,0,1,1,1
56,sbp_latest,DOUBLE,continuous,0,1,1,1,1
57,sbp_latest_offset,DOUBLE,continuous,0,0,0,0,0
58,sbp_median,DOUBLE,continuous,0,0,1,1,1
59,sbp_min,DOUBLE,continuous,0,0,1,1,1
60,sbp_max,DOUBLE,continuous,0,0,1,1,1
61,sbp_sd,DOUBLE,continuous,0,0,1,1,1
62,sbp_iqr,DOUBLE,continuous,0,0,1,1,1
63,sbp_slope,DOUBLE,continuous,0,0,1,1,1
64,sbp_abnormal_prop,DOUBLE,continuous,0,0,1,1,1
65,sbp_longest_abnormal_run,BIGINT,continuous,0,0,1,1,1
66,spo2_latest,DOUBLE,continuous,0,1,1,1,1
67,spo2_latest_offset,DOUBLE,continuous,0,0,0,0,0
68,spo2_median,DOUBLE,continuous,0,0,1,1,1
69,spo2_min,DOUBLE,continuous,0,0,1,1,1
70,spo2_max,DOUBLE,continuous,0,0,1,1,1
71,spo2_sd,DOUBLE,continuous,0,0,1,1,1
72,spo2_iqr,DOUBLE,continuous,0,0,1,1,1
73,spo2_slope,DOUBLE,continuous,0,0,1,1,1
74,spo2_abnormal_prop,DOUBLE,continuous,0,0,1,1,1
75,spo2_longest_abnormal_run,BIGINT,continuous,0,0,1,1,1
76,temperature_latest,DOUBLE,continuous,0,1,1,1,1
77,temperature_latest_offset,DOUBLE,continuous,0,0,0,0,0
78,temperature_median,DOUBLE,continuous,0,0,1,1,1
79,temperature_min,DOUBLE,continuous,0,0,1,1,1
80,temperature_max,DOUBLE,continuous,0,0,1,1,1
81,temperature_sd,DOUBLE,continuous,0,0,1,1,1
82,temperature_iqr,DOUBLE,continuous,0,0,1,1,1
83,temperature_slope,DOUBLE,continuous,0,0,1,1,1
84,temperature_abnormal_prop,DOUBLE,continuous,0,0,1,1,1
85,temperature_longest_abnormal_run,BIGINT,continuous,0,0,1,1,1
86,shock_index_latest,DOUBLE,continuous,0,1,1,1,1
87,oxygen_latest_level,INTEGER,continuous,0,1,1,1,1
88,oxygen_max_level,INTEGER,continuous,0,0,1,1,1
89,oxygen_escalation_count,DOUBLE,continuous,0,0,1,1,1
90,oxygen_documentation_count,BIGINT,continuous,0,0,0,0,0
91,oxygen_latest_offset_h,DOUBLE,continuous,0,0,0,0,0
92,oxygen_time_since_latest_h,DOUBLE,continuous,0,1,1,1,1
93,urine_6h_ml,DOUBLE,continuous,0,1,1,1,1
94,urine_12h_ml,DOUBLE,continuous,0,0,1,1,1
95,urine_6h_count,BIGINT,continuous,0,0,0,0,0
96,urine_12h_count,BIGINT,continuous,0,0,0,0,0
97,urine_latest_offset_h,DOUBLE,continuous,0,0,0,0,0
98,vaso_any_12h,INTEGER,continuous,0,0,1,1,1
99,vaso_current,INTEGER,continuous,0,1,1,1,1
100,vaso_max_agent_count,DOUBLE,continuous,0,0,1,1,1
101,vaso_latest_start_offset_h,DOUBLE,continuous,0,0,0,0,0
